CODE,MIN SINGLE LEAF,MIN UNQ MAIN LEAF,MIN UNQ SIDE LEAF,MIN DOUBLE LEAF,MAX SINGLE LEAF,MAX UNQ MAIN LEAF,MAX UNQ SIDE LEAF,MAX DOUBLE LEAF,MIN HEIGHT
NFPA,810,810,450,1620,1219,1219,813,2438,2030
FRENCH,900,900,450,1800,1200,1200,813,2400,2050
IBC,813,813,450,1626,1219,1219,813,2438,2032
BS-EN,800,800,450,1600,1200,1200,600,2400,2000
SBC,800,800,450,1600,1200,1200,800,2400,2000
NBC,1000,1000,450,2000,1200,1200,1000,2400,2000
DCD,915,810,450,1620,1200,1200,810,2400,2030
