Worksets
ARC_Ceiling
ARC_Columns
ARC_External
ARC_Furniture
ARC_Groups
ARC_Internal
ARC_LifeSafety
ARC_Rendering
ARC_Skin
ELE_Lighting
MEC_HVAC
PLD_Plumbing
Scope Boxes
SGN_Signage
Shared Levels and Grids
STR_Concrete
STR_Steel
Z_Link_ARC
Z_Link_CAD
Z_Link_ELE
Z_Link_ELV
Z_Link_FPR
Z_Link_MEC
Z_Link_PLD
Z_Link_STR
Z_Link_URS
